Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,ReviewReasons,PriorityScore
classic soul,172,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,7.0498
bioshock soundtrack,454,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.0437
chinese r&b,454,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.0437
soul cargo,454,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.0437
kizomba,1346,caribbean,,0.45,fallback,low_primary_weight | low_confidence,7.0411
rap conscient,1336,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,7.0338
trap italiana,1286,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.9966
eurodance,1090,,,,,no_family | no_related_styles | no_transition_styles,6.987
disco,1075,,,,,no_family | no_related_styles | no_transition_styles,6.9732
iskelma,1045,,,,,no_family | no_related_styles | no_transition_styles,6.9449
taiwan singer-songwriter,415,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.9406
hardcore hip,413,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.9351
arabesk,407,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.9182
mariachi,401,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.9012
tekno,391,techno,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.8722
rock and roll,1119,rock,,0.45,fallback,low_primary_weight | low_confidence,6.8607
traditional,280,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,6.8564
christmas,918,,,,,no_family | no_related_styles | no_transition_styles,6.8156
russelater,868,,,,,no_family | no_related_styles | no_transition_styles,6.7597
c-pop,995,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,6.7461
ragga,988,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.7392
zouk,983,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.7342
blue-eyed soul,346,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.7319
lounge,843,,,,,no_family | no_related_styles | no_transition_styles,6.7306
future bass,344,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.7252
alternative dance,251,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,6.7239
kollywood,341,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.7152
orchestral,341,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.7152
contemporary folk,337,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.7016
film score,317,classical,soundtrack_stage,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.6314
rap maroc,883,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.6295
rap marseille,859,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.6026
europop,843,pop,,0.45,fallback,low_primary_weight | low_confidence,6.5843
sholawat,297,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.5567
gqom,818,african,house,0.45,fallback,low_primary_weight | low_confidence,6.5549
chilean mambo,789,latin_tropical,latin_urban,0.45,fallback,low_primary_weight | low_confidence,6.5197
quiet storm,282,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4972
pagode,280,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4891
trap argentino,764,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.4882
adult contemporary,760,pop,,0.45,fallback,low_primary_weight | low_confidence,6.4831
chipmunk soul,278,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4809
j-rock,758,rock,,0.45,fallback,low_primary_weight | low_confidence,6.4805
hindi indie,277,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4767
motown,273,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.46
ska,642,,,,,no_family | no_related_styles | no_transition_styles,6.4589
funk rj,270,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4474
tropical,730,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,6.4438
big band,267,jazz_blues,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4346
new jack swing,266,jazz_blues,rnb_soul,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4303
urban contemporary,266,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4303
new age,620,,,,,no_family | no_related_styles | no_transition_styles,6.4241
tamil dance,264,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4216
alte,615,,,,,no_family | no_related_styles | no_transition_styles,6.416
chillwave,262,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4129
concerto,262,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4129
electro latino,261,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.4085
calypso,698,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.4001
dansktop,604,,,,,no_family | no_related_styles | no_transition_styles,6.398
swing,257,jazz_blues,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3908
boom bap,691,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.3902
azonto,687,african,,0.45,fallback,low_primary_weight | low_confidence,6.3846
club,593,,,,,no_family | no_related_styles | no_transition_styles,6.3797
likedis auto,590,,,,,no_family | no_related_styles | no_transition_styles,6.3747
3 step,677,house,,0.45,fallback,low_primary_weight | low_confidence,6.3703
easy listening,585,,,,,no_family | no_related_styles | no_transition_styles,6.3662
egyptian shaabi,249,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3545
baroque,248,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3499
tollywood,246,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3406
rockabilly,652,rock,,0.45,fallback,low_primary_weight | low_confidence,6.3336
vgm,244,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3313
classical period,101,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,6.3271
khaliji,241,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.3171
kuduro,637,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.3108
hip hop tuga,632,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.3032
mashup,548,,,,,no_family | no_related_styles | no_transition_styles,6.301
urbano chileno,548,,,,,no_family | no_related_styles | no_transition_styles,6.301
urbano espanol,548,,,,,no_family | no_related_styles | no_transition_styles,6.301
private school piano,547,,,,,no_family | no_related_styles | no_transition_styles,6.2992
schlager,544,,,,,no_family | no_related_styles | no_transition_styles,6.2937
ballad,618,pop,,0.45,fallback,low_primary_weight | low_confidence,6.2813
k-rap,613,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.2734
kompa,608,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.2654
trip hop,525,,,,,no_family | no_related_styles | no_transition_styles,6.2583
grime,603,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.2573
cuarteto,602,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,6.2557
candombe,595,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,6.2443
israeli mediterranean,515,,,,,no_family | no_related_styles | no_transition_styles,6.2391
pinoy r&b,225,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.2384
funk mtg,224,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.2333
rock en espanol,588,rock,,0.45,fallback,low_primary_weight | low_confidence,6.2328
mpb,222,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.223
chillout,502,,,,,no_family | no_related_styles | no_transition_styles,6.2136
hard alternative,163,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,6.2016
funk paulista,217,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1969
doom,215,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1863
tango,484,,,,,no_family | no_related_styles | no_transition_styles,6.1772
fusion,483,,,,,no_family | no_related_styles | no_transition_styles,6.1751
korean r&b,212,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1702
goth,480,,,,,no_family | no_related_styles | no_transition_styles,6.1689
psychobilly,477,,,,,no_family | no_related_styles | no_transition_styles,6.1627
beethoven,472,,,,,no_family | no_related_styles | no_transition_styles,6.1522
lofi,467,,,,,no_family | no_related_styles | no_transition_styles,6.1416
post-hardcore,205,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1317
classic country,87,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,6.1251
berlin school,459,,,,,no_family | no_related_styles | no_transition_styles,6.1243
arabic,203,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1205
country road,203,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1205
entehno,203,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1205
permanent wave,457,,,,,no_family | no_related_styles | no_transition_styles,6.12
chicago,456,,,,,no_family | no_related_styles | no_transition_styles,6.1178
hillbilly,456,,,,,no_family | no_related_styles | no_transition_styles,6.1178
meditation,456,,,,,no_family | no_related_styles | no_transition_styles,6.1178
vietnam indie,455,,,,,no_family | no_related_styles | no_transition_styles,6.1156
idm,202,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.1149
phonk,521,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.1148
101 moments in music,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
2001 space odyssey,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
50cents,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
80 s fresh new,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
absolute voices,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
acoustic best,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
adam beyer,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
africa middle east,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
alirio diaz,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
andrade,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
andre powels,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
andrew york,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
armin van buuren,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
backstreet boys,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
bareto,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
basque,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
bflaminio,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
binaural beats,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
birthday,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
boot land,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
casanovas,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
cdnnnow128,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
cdx,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
celtic celebration,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
classique,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
classwar karaoke,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
cobles,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
compilatie,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
desperado,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
dfree843,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
die drei,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
dresch,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
educacion,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
elc chritmas,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
fjord,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
foreign language,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
frederic chopin,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
futebol,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
gerard palaprat,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
glass,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
grase,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
groom to the gallows,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
healing sixes,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
hemi-sync,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ibiza,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
infantil,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
john coltrane,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
josquin,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
jucanto,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
kinderchore,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
kinderliedjes kapiteinwinokio humo,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
klaus baumgart,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
la grande sophie,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
leaving on a jet plan,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
legion of von,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
lil eazy-e,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
liturgic,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
liz,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
liz andrade,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
local music of iran,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
los 24 grandes exitos de la zarzuela,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
marilyn manson,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
mary j blige,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
mega,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
michael jackson,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
mimicking birds,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
miroque,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
mohsen namjoo,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
montuno,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
more 70,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
my sharona,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ncs,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
nederlands,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
new generations,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
new generations philip glass,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
niroshima,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
nitzer ebb,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
nox,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
number 1,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
orthodox,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
papeete,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
pavarotti,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
piosenka poetycka muzyka autorska,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
pzzqxnzt6snn ekrngheoblbupu-,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
razieq,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
rhythm del mundo,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ronak bhatt,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
shankar jaikishan,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
shine 4,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
shwetabh sucks,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
sonic seducer cold hands vi,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
sprechgesang,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
sunshine,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
the welcome committee,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
trikitixa,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
tunguska chillout grooves,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ultimatecore,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ussr ministry of culture chamber choir,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
venezolana,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
vera kaa,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
visions,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
volkstumliche musik,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
wireharp,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
z103 5 street mix 2k7,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
zero t 51,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
zweiohr,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
ƒk₷m€,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
мелодии рождества,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
嫌われ松子の歌たち,454,,,,,no_family | no_related_styles | no_transition_styles,6.1134
rkt,520,latin_urban,,0.45,fallback,low_primary_weight | low_confidence,6.1129
post grunge,511,rock,,0.45,fallback,low_primary_weight | low_confidence,6.0959
s.a. souvenirs,446,,,,,no_family | no_related_styles | no_transition_styles,6.0957
trap funk,508,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.0901
chanson,439,,,,,no_family | no_related_styles | no_transition_styles,6.0799
alternative electronic,84,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,6.0777
big room,437,,,,,no_family | no_related_styles | no_transition_styles,6.0754
trap triste,496,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.0668
shatta,495,caribbean,,0.45,fallback,low_primary_weight | low_confidence,6.0648
qawwali,193,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.0627
pop nacional,491,pop,,0.45,fallback,low_primary_weight | low_confidence,6.0569
uk dance,428,,,,,no_family | no_related_styles | no_transition_styles,6.0547
hiplife,489,african,,0.45,fallback,low_primary_weight | low_confidence,6.0529
pagode baiano,191,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.0507
russian drain,191,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.0507
rap dominicano,486,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.0469
bolero,484,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,6.0429
brostep,187,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.0265
rap napoletano,467,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.0081
rap us,466,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,6.006
country dreams,183,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,6.0018
britpop,462,pop,rock,0.45,fallback,low_primary_weight | low_confidence,5.9976
emo,459,rock,,0.45,fallback,low_primary_weight | low_confidence,5.9912
bossa nova,181,jazz_blues,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9892
r&b en espanol,180,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9828
funk consciente,393,,,,,no_family | no_related_styles | no_transition_styles,5.9696
moombahton,392,,,,,no_family | no_related_styles | no_transition_styles,5.9671
brega,177,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9636
smooth soul,177,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9636
epadunk,389,,,,,no_family | no_related_styles | no_transition_styles,5.9594
neo psychedelia,385,,,,,no_family | no_related_styles | no_transition_styles,5.9492
electroclash,174,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9441
coupe decale,434,african,,0.45,fallback,low_primary_weight | low_confidence,5.9366
turbo folk,172,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9308
rumba congolaise,431,african,,0.45,fallback,low_primary_weight | low_confidence,5.9298
dubstep,170,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9174
pop urbano,425,pop,,0.45,fallback,low_primary_weight | low_confidence,5.9162
